	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
208	208	1.0	0.0617	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
209	209	5.0	0.08	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
210	210	3.0	0.1162	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
211	211	21.0	0.0576	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
212	212	6.0	0.0922	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
213	213	17.0	0.0832	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
214	214	10.0	0.1044	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
215	215	15.0	0.062	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
216	216	10.0	0.0959	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
217	217	15.0	0.0777	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
218	218	10.0	0.0791	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
219	219	0.0	0.2407	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
220	220	20.0	0.24	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002
221	221	1.0	0.1173	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
222	222	7.0	0.0822	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
223	223	4.0	0.0627	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
224	224	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
225	225	17.0	0.0853	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
226	226	4.0	0.073	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
227	227	6.0	0.1259	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
228	228	1.0	0.0606	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
229	229	15.0	0.0598	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
230	230	1.0	0.0617	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
231	231	17.0	0.0777	pm, 7, 5, 6, started, 8, 1, 330, 430, 630
232	232	9.0	0.0606	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
233	233	11.0	0.0806	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
234	234	1.0	0.0664	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
235	235	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
236	236	1.0	0.0617	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
237	237	1.0	0.0743	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
238	238	0.0	0.2566	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
239	239	20.0	0.3003	acurite, starting, taylor, shower, acurite2, acurite1, 001, torrent, midnight, 002
240	240	9.0	0.0629	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
241	241	15.0	0.0576	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
242	242	13.0	0.0736	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
243	243	7.0	0.0638	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
244	244	1.0	0.0629	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
245	245	6.0	0.1061	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
246	246	1.0	0.0935	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
247	247	1.0	0.0587	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
248	248	1.0	0.0956	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
249	249	14.0	0.1137	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed
250	250	18.0	0.0617	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
251	251	21.0	0.0598	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped
252	252	0.0	0.211	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended
253	253	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
254	254	3.0	0.0587	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
255	255	6.0	0.0823	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
256	256	14.0	0.062	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed
257	257	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
258	258	18.0	0.0555	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
259	259	13.0	0.0736	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
260	260	6.0	0.0878	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
261	261	5.0	0.0822	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
262	262	13.0	0.0693	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
263	263	6.0	0.0915	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
264	264	5.0	0.0598	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
265	265	5.0	0.0822	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
266	266	13.0	0.0779	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
267	267	6.0	0.0915	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
268	268	10.0	0.062	total, day, rainfall, amount, nearby, absent, station, reading, based, 95
269	269	5.0	0.08	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
270	270	13.0	0.0736	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
271	271	6.0	0.118	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
272	272	13.0	0.062	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
273	273	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
274	274	3.0	0.1141	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
275	275	6.0	0.0915	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
276	276	13.0	0.0576	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
277	277	5.0	0.0629	minute, hour, 9, 10, 45, 24, period, 67, 71, 72
278	278	13.0	0.0693	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
279	279	6.0	0.108	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
280	280	15.0	0.0642	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple
281	281	3.0	0.0629	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°
282	282	6.0	0.0828	wind, max, mph, 15, 17, 20, 16, 18, 19, 13
283	283	14.0	0.062	thunder, pm, rain, lightning, early, began, heard, heavier, east, observed
284	284	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
285	285	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
286	286	9.0	0.0608	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
287	287	11.0	0.0576	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
288	288	13.0	0.08	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
