	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
160	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
161	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
162	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
163	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
164	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
165	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
166	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
167	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
168	10.0	total, day, rainfall, amount, nearby, absent, station, reading, based, 95		
169	1.0	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog		
170	17.0	pm, 7, 5, 6, started, 8, 1, 330, 430, 630		
171	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
172	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
173	16.0	rain, pm, heavy, 1030, accumulated, 1130, 700, 1100, 1000, 1215		
174	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
175	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
176	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
177	8.0	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°		
178	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
179	21.0	raining, time, reading, started, 7am, rained, read, hard, sprinkling, stopped		
180	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
181	8.0	calm, clear, overcast, 01, cloudy, 78°, 77°, 74°, partly, 79°		
182	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
183	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
184	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
185	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
186	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
187	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
188	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
189	15.0	trace, rain, fell, drop, midnight, truchek, measurable, accumulation, start, couple		
190	3.0	cloud, high, thin, scattered, distant, breeze, 76°, 81°, 55°, 54°		
