	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
201	201	10.0	0.0606	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
202	202	14.0	0.0544	chilly, day, sunny, light, overnite, flurry, bit, march, lost, lt
203	203	11.0	0.0555	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
204	204	4.0	0.073	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
205	205	11.0	0.0635	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
206	206	11.0	0.0544	sunny, night, warm, ytd, winter, wrm, ay, snowflake, trace, thunderstorm
207	207	21.0	0.0584	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
208	208	9.0	0.0624	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
209	209	9.0	0.0644	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
210	210	9.0	0.0676	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
211	211	7.0	0.0808	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
212	212	4.0	0.1005	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
213	213	8.0	0.0555	sunny, wind, chilly, total, reading, amount, quick, 2675, 930so, wedtu
214	214	21.0	0.0575	warm, day, sunny, chilly, wind, snowrain, 3, precipitation, monring, 225
215	215	4.0	0.0723	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
216	216	3.0	0.0524	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
217	217	10.0	0.0564	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
218	218	5.0	0.063	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
219	219	5.0	0.0615	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
220	220	13.0	0.0613	cool, night, day, light, overcast, warm, started, 3, 7, ended
221	221	20.0	0.0832	afternoon, rain, late, overcast, mid, starting, short, beautiful, til, graupel
222	222	17.0	0.0696	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
223	223	17.0	0.0703	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
224	224	17.0	0.0716	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
225	225	17.0	0.0595	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
226	226	17.0	0.0635	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
227	227	17.0	0.0676	cool, wind, hot, humid, amount, 6, flake, midnight, 830, 130
228	228	3.0	0.0679	day, cooler, night, warmer, big, flurry, water, icy, monday, stronger
