	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
3	1871347	653	653	few snow flurries  windy  chilly night 	2015-01-15	7	0	Trace				2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872517	679	679		2015-01-15	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1871495	595	595		2015-01-15	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875881	680	680		2015-01-15	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1871571	587	587		2015-01-16	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877512	7647	7647		2015-01-16	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878455	553	553		2015-01-16	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1871436	653	653	sunny day  cool  chilly night 	2015-01-16	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872518	679	679		2015-01-16	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1871496	595	595		2015-01-16	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875880	680	680		2015-01-16	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1871715	587	587		2015-01-17	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877513	7647	7647		2015-01-17	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878456	553	553		2015-01-17	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1871940	653	653	sunny day  chilly night	2015-01-17	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872519	679	679		2015-01-17	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1872354	595	595		2015-01-17	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875879	680	680		2015-01-17	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1871984	587	587		2015-01-18	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877514	7647	7647		2015-01-18	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878457	553	553		2015-01-18	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1871939	653	653	sunny  day chilly night	2015-01-18	6	40	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872520	679	679		2015-01-18	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1872355	595	595		2015-01-18	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875877	680	680		2015-01-18	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1872398	587	587		2015-01-19	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877515	7647	7647		2015-01-19	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878458	553	553		2015-01-19	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1872588	653	653	sunny day  chilly night 	2015-01-19	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872521	679	679		2015-01-19	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1872356	595	595		2015-01-19	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875876	680	680		2015-01-19	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1872697	587	587		2015-01-20	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877516	7647	7647		2015-01-20	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1878459	553	553		2015-01-20	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1872587	653	653	sunny warm day  chilly night 	2015-01-20	5	55	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1876029	679	679		2015-01-20	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1873214	595	595		2015-01-20	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1875875	680	680		2015-01-20	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1872961	587	587		2015-01-21	7	0	Snow	0.07		0.7000000000000001	2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1877517	7647	7647		2015-01-21	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1872944	553	553		2015-01-21	7	0	Snow	0.04	0.5		2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1872994	653	653	snow and rain overnight  sunny day  cool night	2015-01-21	7	0	Snow	0.1			2006-11-26				TruChek		35.1591394379	-111.6675120592
